event_category,event_action,event_label,total_events,unique_events
city_landing,search-tools-button_open,Dubai / Водные,16,16
city_landing,price_button_submit,Gelendzhik / Показать предложения (2),9,8
city_landing,start_date_click,Alupka,1,1
city_landing,search-tools-button_open,Veliky Ustyug / Категории,1,1
city_landing,price_button_submit,Kazan / Показать предложения (10),20,19
city_landing,search-tools-button_open,Taganrog / Выбрано: 0,5,5
city_landing,price_button_submit,Kaliningrad / Показать предложения (30),75,66
city_landing,price_button_submit,Gagra / Показать предложения (8),12,11
city_landing,price_button_submit,Saint Petersburg / Показать предложения (214),3,2
city_landing,search-tools-button_open,Cairo / Categories,1,1
city_landing,pay-type_checkbox,Pyatigorsk / Оплата на месте (без предоплаты),100,76
city_landing,start_date_click,Munich,12,11
city_landing,price_button_submit,Saint Petersburg / Показать предложения (514),1,1
city_landing,filters-categories_click,Zelenogradsk / Гастрономические,1,1
city_landing,price_button_submit,Ulan-Ude / Показать предложения (3),2,2
city_landing,end_date_click,Tomsk,11,10
city_landing,price_first,Brest,2,1
city_landing,filters-categories_click,Ras Al Khaimah / Сначала самые популярные,1,1
city_landing,search-tools-button_open,Izmir / Сортировка,1,1
city_landing,filters-categories_click,Sevastopol / ЭКСКУРСИЯ ПО СЕВАСТОПОЛЮ ЦЕНА,5,3
city_landing,price_button_submit,Irkutsk / Показать предложения (25),13,8
city_landing,price_button_submit,Zheleznovodsk / Показать предложения (4),11,11
city_landing,start_date_click,Anapa,369,278
city_landing,price_button_submit,Kislovodsk / Показать предложения (5),20,15
city_landing,price_button_submit,Sevastopol / Показать предложения (31),32,32
city_landing,search-tools-button_open,Smolensk / ИНДИВИДУАЛЬНЫЕ ЭКСКУРСИИ ПО СМОЛЕНСКУ,1,1
city_landing,filters-categories_click,Pyatigorsk / Для детей,18,16
city_landing,price_button_submit,Catania / Показать предложения (1),1,1
city_landing,price_button_submit,Kislovodsk / Показать предложения (73),8,7
city_landing,price_button_submit,Moscow / Показать предложения (75),12,12
city_landing,ticket-type_checkbox,Baikal / Мини-группа,12,11
city_landing,search-tools-button_open,Samui / Выбрано: 1,1,1
city_landing,price_button_submit,Moscow / Показать предложения (187),1,1
city_landing,search-tools-button_open,Kislovodsk / Групповые,1,1
city_landing,price_button_submit,Principality of Monaco / Показать предложения (3),2,2
city_landing,search-tools-button_open,Jerusalem / Выбрано: 0,18,17
city_landing,price_button_submit,Lazarevskoye / Показать предложения (12),47,44
city_landing,filters-categories_click,Rostov-on-Don / Вечерние экскурсии,6,4
city_landing,price_button_submit,Kislovodsk / Показать предложения (132),1,1
city_landing,price_button_submit,Prague / Показать предложения (39),3,3
city_landing,dates_filter_mobile,Kostroma / Завтра,40,27
city_landing,filters-categories_click,Los Angeles / Обзорные,2,1
city_landing,search-tools-button_open,Yessentuki / Гастрономические,3,2
city_landing,price_button_submit,Yessentuki / Показать предложения (41),2,2
city_landing,price_button_submit,Saint Petersburg / Показать предложения (397),3,2
city_landing,filters-categories_click,Larnaca / Популярные,5,4
city_landing,price_button_submit,Saint Petersburg / Показать предложения (249),2,2
city_landing,filters-categories_click,Ryazan / Автобусные,17,14
